State,HI_Population,Without Health Insurance,Pct_WO_HI,POV_Population,Below Poverty Level,Pct_in_Poverty,Median_Age,Median_Income,Pct_Emp_NoComp,Pct_Unemp_NoComp,Pct_NotinLaborForce_NoComp
Alabama,4716397,574287,0.1218,4727549,910175,0.192525768,38.6,42830,0.052715124,0.009249281,0.113686893
Alaska,706055,121625,0.1723,717723,80627,0.112337211,33.3,71583,0.023672556,0.006805082,0.034661028
Arizona,6560899,898956,0.137,6573369,1199061,0.182411941,36.9,50068,0.042070935,0.006418698,0.073218909
Arkansas,2879848,340646,0.1183,2882856,543882,0.188660828,37.8,41262,0.053883589,0.007065336,0.103994632
California,37984821,4747234,0.125,38060228,6259098,0.164452457,36,61933,0.032729854,0.004579868,0.051962484
Colorado,5217407,540974,0.1037,5237149,630786,0.12044454,36.3,61303,0.025691878,0.002683342,0.043430992
Connecticut,3480470,243089,0.0698,3485629,374772,0.107519188,40.5,70048,0.026357026,0.005099226,0.060152494
Delaware,907185,71040,0.0783,909611,113508,0.124787409,39.6,59716,0.044345825,0.00461408,0.064555826
District of Columbia,622480,32583,0.0523,624327,110666,0.17725647,33.8,71648,0.041625758,0.009880468,0.07561714
Florida,19434036,3230473,0.1662,19470210,3211615,0.164950198,41.6,47463,0.038967254,0.005115443,0.067208491
Georgia,9792214,1557272,0.159,9823859,1797969,0.183020644,36.1,49321,0.042465988,0.006022166,0.075652793
Hawaii,1352502,71462,0.0528,1379804,156729,0.113587872,38.1,69592,0.030478691,0.00284207,0.05940784
Idaho,1599485,218339,0.1365,1603083,237981,0.148452076,35.9,47861,0.033634469,0.002019711,0.060298924
Illinois,12564699,1230772,0.098,12571848,1804535,0.143537768,37.5,57444,0.037378508,0.006500698,0.070579089
Indiana,6389889,768382,0.1202,6391460,974218,0.152424955,37.4,49446,0.043232325,0.005581,0.075429913
Iowa,3002994,187135,0.0623,3004857,367816,0.122407156,38.2,53712,0.039987778,0.003701349,0.07247425
Kansas,2808181,288929,0.1029,2821431,382712,0.135644643,36.2,52504,0.039588518,0.003140943,0.067605675
Kentucky,4266993,362180,0.0849,4275359,817542,0.191221837,38.5,42958,0.045443112,0.007000375,0.107775518
Louisiana,4508426,667659,0.1481,4518525,896524,0.198410765,36.1,44555,0.058205985,0.008734522,0.104918864
Maine,1292504,131915,0.1021,1294009,182791,0.14125945,44.1,49462,0.03014027,0.004414754,0.072715806
Maryland,5818389,457968,0.0787,5835377,589818,0.101076246,38.3,73971,0.028665083,0.004228781,0.051604033
Massachusetts,6505780,213561,0.0328,6509672,757235,0.116324601,39.4,69160,0.024565526,0.003555826,0.060612336
Michigan,9683611,829487,0.0857,9686787,1568844,0.161957107,39.6,49847,0.031325978,0.005929795,0.078658392
Minnesota,5329887,314127,0.0589,5332552,611354,0.114645671,37.8,61481,0.027809067,0.002456772,0.059225958
Mississippi,2889342,419382,0.1451,2895470,623113,0.215202713,36.7,39680,0.057716719,0.012014096,0.125278749
Missouri,5869979,688453,0.1173,5878658,908628,0.154563848,38.5,48363,0.041440164,0.005806115,0.084103688
Montana,995121,141971,0.1427,997952,153954,0.154269945,39.6,46328,0.041155923,0.0050469,0.074629694
Nebraska,1824141,177374,0.0972,1828121,227310,0.124340785,36.2,52686,0.041177925,0.004024792,0.068674397
Nevada,2794442,425986,0.1524,2800768,426730,0.152361781,37.4,51450,0.036032394,0.005561798,0.05508376
New Hampshire,1286572,119567,0.0929,1287504,117983,0.091636997,42.5,66532,0.024471546,0.002290646,0.046783504
New Jersey,8755327,961862,0.1099,8762159,972903,0.111034621,39.4,71919,0.029990977,0.003743927,0.056811821
New Mexico,2037921,295522,0.145,2045525,436153,0.213223011,37.2,44803,0.060637001,0.011826439,0.108556758
New York,19213492,1684928,0.0877,19228524,3062938,0.159291374,38.2,58878,0.033574481,0.003710838,0.071620978
North Carolina,9633945,1272228,0.1321,9691794,1668686,0.172175141,38.3,46556,0.043446705,0.008050727,0.083260446
North Dakota,709215,56325,0.0794,712548,82264,0.115450468,35.1,59029,0.035909662,0.002535998,0.06630947
Ohio,11269002,950190,0.0843,11276403,1785780,0.158364329,39.4,49308,0.035504262,0.005713568,0.081291383
Oklahoma,3749043,578336,0.1543,3759517,623840,0.165936209,36.2,47529,0.046721068,0.005138228,0.082280382
Oregon,3890583,381351,0.098,3893475,644450,0.165520518,39.3,51075,0.022477879,0.00325623,0.055385363
Pennsylvania,12367765,1056876,0.0855,12371337,1682212,0.135976572,40.7,53234,0.037329722,0.004986099,0.084913264
Rhode Island,1013765,76022,0.075,1015655,145596,0.143351827,39.8,54891,0.033713014,0.003975437,0.078989834
South Carolina,4674542,636392,0.1361,4691589,843860,0.179866565,38.8,45238,0.049163372,0.008599376,0.095182468
South Dakota,821911,81181,0.0988,824373,116843,0.141735598,36.6,50979,0.047878448,0.004951902,0.082489355
Tennessee,6372194,770280,0.1209,6386663,1171307,0.183398905,38.6,44361,0.047991366,0.00794036,0.096596664
Texas,26283725,5017720,0.1909,26340247,4523708,0.17174129,34.3,53035,0.052460309,0.004797018,0.067004085
Utah,2894037,363865,0.1257,2897762,339900,0.117297418,30.5,60922,0.018692639,0.002554408,0.031366265
Vermont,601286,29983,0.0499,601819,73149,0.121546511,42.8,54166,0.03657866,0.004115958,0.061725225
Virginia,8005644,876638,0.1095,8080300,953395,0.11799005,37.7,64902,0.032504894,0.003693201,0.061974608
Washington,6891729,638494,0.0926,6927889,913619,0.131875525,37.5,61366,0.02625459,0.002618042,0.047714441
West Virginia,1792106,155034,0.0865,1792949,327764,0.182807208,41.9,41059,0.047182178,0.006915261,0.127541454
Wisconsin,5601432,412607,0.0737,5603486,738270,0.131751913,39.2,52622,0.037172767,0.004260354,0.071591448
Wyoming,568416,68325,0.1202,570149,63774,0.111854971,36.6,57055,0.035549033,0.00258131,0.049289131
